university,coursename,academicyear,rpigp,gpaigp,studentintake
NUS,Law,2025,85,NaN,252
NUS,Law,2024,85,3.86,246
NUS,Law,2023,85,3.75,233
NUS,Law,2022,85,3.82,244
NUS,Law,2021,85,3.87,234
NUS,Medicine,2025,85,3.87,286
NUS,Medicine,2024,85,3.74,284
NUS,Medicine,2023,85,3.78,280
NUS,Medicine,2022,85,3.86,294
NUS,Medicine,2021,85,3.82,303
NUS,Nursing,2025,65,3.18,343
NUS,Nursing,2024,66.25,3.23,330
NUS,Nursing,2023,66.25,3.28,346
NUS,Nursing,2022,66.25,3.42,314
NUS,Nursing,2021,67.5,3.41,338
NUS,Dentistry,2025,85,NaN,80
NUS,Dentistry,2024,85,NaN,80
NUS,Dentistry,2023,85,NaN,80
NUS,Dentistry,2022,85,NaN,80
NUS,Dentistry,2021,85,NaN,81
NUS,Architecture,2025,67.5,3.27,165
NUS,Architecture,2024,67.5,3.28,149
NUS,Architecture,2023,68.75,3.54,135
NUS,Architecture,2022,72.5,3.56,140
NUS,Architecture,2021,67.5,3.49,159
NUS,Engineering,2025,75,3.57,1259
NUS,Engineering,2024,75,3.56,1247
NUS,Engineering,2023,72.5,3.55,1292
NUS,Engineering,2022,71.25,3.56,1167
NUS,Engineering,2021,70.875,3.61,1294
NUS,Industrial Design,2025,73.75,3.56,43
NUS,Industrial Design,2024,76.25,3.6,51
NUS,Industrial Design,2023,78.75,3.55,50
NUS,Industrial Design,2022,72.5,3.62,44
NUS,Industrial Design,2021,71.25,3.61,53
NUS,Landscape Architecture,2025,68.75,3.37,47
NUS,Landscape Architecture,2024,68.75,3.4,39
NUS,Landscape Architecture,2023,68.75,3.36,52
NUS,Landscape Architecture,2022,71.25,3.38,32
NUS,Landscape Architecture,2021,71.25,3.41,28
NUS,Computing (Business Analytics),2025,85,3.75,274
NUS,Computing (Business Analytics),2024,85,3.81,270
NUS,Computing (Business Analytics),2023,85,3.78,326
NUS,Computing (Business Analytics),2022,85,3.81,295
NUS,Computing (Business Analytics),2021,85,3.84,271
NUS,Computing (Information Systems/Business AI Systems),2025,83.75,3.71,93
NUS,Computing (Information Systems/Business AI Systems),2024,85,3.73,75
NUS,Computing (Information Systems/Business AI Systems),2023,85,3.77,100
NUS,Computing (Information Systems/Business AI Systems),2022,83.75,3.76,94
NUS,Computing (Information Systems/Business AI Systems),2021,83.75,3.75,81
NUS,Computing (Computer Science),2025,85,3.81,893
NUS,Computing (Computer Science),2024,85,3.8,979
NUS,Computing (Computer Science),2023,85,3.84,923
NUS,Computing (Computer Science),2022,85,3.84,858
NUS,Computing (Computer Science),2021,85,3.86,777
NUS,Computing (Information Security),2025,83.75,3.88,47
NUS,Computing (Information Security),2024,85,3.83,53
NUS,Computing (Information Security),2023,82.5,3.89,61
NUS,Computing (Information Security),2022,83.75,3.8,46
NUS,Computing (Information Security),2021,85,3.79,40
NUS,Computer Engineering,2025,85,3.81,203
NUS,Computer Engineering,2024,85,3.81,234
NUS,Computer Engineering,2023,80,3.85,263
NUS,Computer Engineering,2022,81.25,3.88,182
NUS,Computer Engineering,2021,82.5,3.85,197
NUS,Data Science & Economics,2025,85,NaN,103
NUS,Data Science & Economics,2024,85,NaN,99
NUS,Data Science & Economics,2023,85,NaN,95
NUS,Data Science & Economics,2022,83.75,NaN,89
NUS,Data Science & Economics,2021,83.75,NaN,47
NUS,Environmental Studies,2025,83.75,3.67,45
NUS,Environmental Studies,2024,82,3.7,43
NUS,Environmental Studies,2023,83.75,NaN,40
NUS,Environmental Studies,2022,80,NaN,27
NUS,Environmental Studies,2021,81.25,NaN,45
NUS,Food Science & Technology,2025,82.5,3.64,45
NUS,Food Science & Technology,2024,83.75,3.86,48
NUS,Food Science & Technology,2023,85,3.86,50
NUS,Food Science & Technology,2022,85,3.86,54
NUS,Food Science & Technology,2021,85,NaN,52
NUS,Humanities & Sciences,2025,77.5,3.63,1976
NUS,Humanities & Sciences,2024,78.75,3.61,1893
NUS,Humanities & Sciences,2023,78.75,3.62,1949
NUS,Humanities & Sciences,2022,77.5,3.67,1971
NUS,Humanities & Sciences,2021,78.75,3.79,2100
NUS,Pharmaceutical Science,2025,85,3.93,65
